date,USD,EUR,GBP,CAD,AUD,JPY
2024-01-02,1.0,1.087668,1.269866,0.744854,0.659527,0.006746
2024-01-03,1.0,1.086351,1.268329,0.743952,0.658729,0.006738
2024-01-04,1.0,1.085009,1.266762,0.743034,0.657915,0.006729
2024-01-05,1.0,1.083695,1.265227,0.742133,0.657118,0.006721
2024-01-08,1.0,1.082457,1.263782,0.741286,0.656368,0.006714
2024-01-09,1.0,1.081342,1.26248,0.740522,0.655691,0.006707
2024-01-10,1.0,1.080388,1.261367,0.739869,0.655113,0.006701
2024-01-11,1.0,1.07963,1.260481,0.739349,0.654653,0.006696
2024-01-12,1.0,1.079089,1.25985,0.738979,0.654325,0.006693
2024-01-15,1.0,1.07878,1.25949,0.738768,0.654138,0.006691
2024-01-16,1.0,1.078708,1.259405,0.738718,0.654094,0.00669
2024-01-17,1.0,1.078867,1.259591,0.738827,0.654191,0.006691
2024-01-18,1.0,1.079241,1.260027,0.739083,0.654417,0.006694
2024-01-19,1.0,1.079806,1.260687,0.73947,0.65476,0.006697
2024-01-22,1.0,1.080529,1.261532,0.739966,0.655199,0.006702
2024-01-23,1.0,1.081372,1.262516,0.740543,0.65571,0.006707
2024-01-24,1.0,1.082292,1.263589,0.741173,0.656267,0.006713
2024-01-25,1.0,1.083241,1.264698,0.741823,0.656843,0.006718
2024-01-26,1.0,1.084173,1.265785,0.742461,0.657408,0.006724
2024-01-29,1.0,1.08504,1.266798,0.743055,0.657934,0.00673
2024-01-30,1.0,1.0858,1.267686,0.743575,0.658395,0.006734
2024-01-31,1.0,1.086414,1.268403,0.743996,0.658767,0.006738
2024-02-01,1.0,1.08685,1.268912,0.744294,0.659032,0.006741
2024-02-02,1.0,1.087084,1.269185,0.744455,0.659173,0.006742
2024-02-05,1.0,1.087101,1.269204,0.744466,0.659183,0.006742
2024-02-06,1.0,1.086894,1.268963,0.744324,0.659058,0.006741
2024-02-07,1.0,1.086468,1.268466,0.744033,0.6588,0.006738
2024-02-08,1.0,1.085838,1.267729,0.743601,0.658418,0.006734
2024-02-09,1.0,1.085025,1.266781,0.743045,0.657925,0.006729
2024-02-12,1.0,1.084063,1.265657,0.742385,0.657341,0.006723
2024-02-13,1.0,1.082988,1.264403,0.74165,0.65669,0.006717
2024-02-14,1.0,1.081846,1.263069,0.740868,0.655997,0.00671
2024-02-15,1.0,1.080685,1.261714,0.740072,0.655293,0.006703
2024-02-16,1.0,1.079554,1.260393,0.739298,0.654607,0.006696
2024-02-19,1.0,1.078503,1.259166,0.738578,0.65397,0.006689
2024-02-20,1.0,1.077579,1.258087,0.737945,0.65341,0.006683
2024-02-21,1.0,1.076825,1.257207,0.737429,0.652953,0.006679
2024-02-22,1.0,1.07628,1.25657,0.737055,0.652622,0.006675
2024-02-23,1.0,1.075971,1.25621,0.736844,0.652435,0.006673
2024-02-26,1.0,1.07592,1.25615,0.736809,0.652404,0.006673
2024-02-27,1.0,1.076138,1.256405,0.736959,0.652536,0.006674
2024-02-28,1.0,1.076627,1.256975,0.737293,0.652832,0.006677
2024-02-29,1.0,1.077375,1.257849,0.737805,0.653286,0.006682
2024-03-01,1.0,1.078363,1.259003,0.738482,0.653885,0.006688
2024-03-04,1.0,1.079562,1.260402,0.739303,0.654612,0.006696
2024-03-05,1.0,1.080934,1.262004,0.740243,0.655444,0.006704
2024-03-06,1.0,1.082433,1.263754,0.741269,0.656353,0.006713
2024-03-07,1.0,1.08401,1.265595,0.742349,0.657309,0.006723
2024-03-08,1.0,1.08561,1.267463,0.743445,0.658279,0.006733
2024-03-11,1.0,1.087178,1.269294,0.744519,0.65923,0.006743
2024-03-12,1.0,1.088659,1.271023,0.745533,0.660128,0.006752
2024-03-13,1.0,1.090001,1.27259,0.746452,0.660942,0.00676
2024-03-14,1.0,1.091157,1.27394,0.747244,0.661643,0.006767
2024-03-15,1.0,1.092086,1.275025,0.74788,0.662207,0.006773
2024-03-18,1.0,1.092756,1.275806,0.748339,0.662613,0.006777
2024-03-19,1.0,1.093142,1.276258,0.748603,0.662847,0.00678
2024-03-20,1.0,1.093233,1.276363,0.748665,0.662902,0.00678
2024-03-21,1.0,1.093024,1.27612,0.748522,0.662775,0.006779
2024-03-22,1.0,1.092525,1.275537,0.748181,0.662473,0.006776
2024-03-25,1.0,1.091755,1.274638,0.747653,0.662006,0.006771
2024-03-26,1.0,1.090742,1.273455,0.746959,0.661391,0.006765
2024-03-27,1.0,1.089523,1.272032,0.746125,0.660652,0.006757
2024-03-28,1.0,1.088143,1.270421,0.745179,0.659815,0.006749
2024-03-29,1.0,1.086651,1.268679,0.744158,0.658911,0.00674
