order_id,booked_month,correction_month,region,product,status,quantity,unit_price_usd,discount_pct,net_revenue_usd
Q1-0001,2011-01,2011-01,United Kingdom,Kitchen,booked,6,128.77,5,733.99
Q1-0002,2011-01,2011-01,United Kingdom,Kitchen,booked,14,79.47,5,1056.95
Q1-0003,2011-01,2011-01,United Kingdom,Kitchen,booked,4,131.57,0,526.28
Q1-0004,2011-01,2011-01,United Kingdom,Kitchen,void,23,35.26,15,0.0
Q1-0005,2011-01,2011-01,United Kingdom,Decor,return,47,17.63,10,-745.75
Q1-0006,2011-01,2011-01,United Kingdom,Decor,booked,25,13.69,10,308.03
Q1-0007,2011-01,2011-01,United Kingdom,Decor,return,64,119.35,10,-6874.56
Q1-0008,2011-01,2011-01,United Kingdom,Decor,booked,49,130.28,0,6383.72
Q1-0009,2011-01,2011-01,United Kingdom,Stationery,booked,53,96.27,15,4336.96
Q1-0010,2011-01,2011-01,United Kingdom,Stationery,booked,24,137.28,0,3294.72
Q1-0011,2011-01,2011-01,United Kingdom,Stationery,booked,80,105.57,0,8445.6
Q1-0012,2011-01,2011-01,United Kingdom,Stationery,booked,24,114.19,5,2603.53
Q1-0013,2011-01,2011-01,United Kingdom,Bag,return,59,87.07,0,-5137.13
Q1-0014,2011-01,2011-01,United Kingdom,Bag,booked,36,33.59,15,1027.85
Q1-0015,2011-01,2011-01,United Kingdom,Bag,return,43,13.63,0,-586.09
Q1-0016,2011-01,2011-01,United Kingdom,Bag,booked,39,89.9,5,3330.8
Q1-0017,2011-01,2011-01,Netherlands,Kitchen,booked,56,64.63,10,3257.35
Q1-0018,2011-01,2011-01,Netherlands,Kitchen,booked,79,32.82,0,2592.78
Q1-0019,2011-01,2011-01,Netherlands,Kitchen,booked,75,90.26,15,5754.07
Q1-0020,2011-01,2011-02,Netherlands,Kitchen,late_adjustment,71,60.08,15,-3625.83
Q1-0021,2011-01,2011-01,Netherlands,Decor,booked,62,83.0,5,4888.7
Q1-0022,2011-01,2011-01,Netherlands,Decor,booked,75,125.88,10,8496.9
Q1-0023,2011-01,2011-01,Netherlands,Decor,booked,79,122.56,15,8229.9
Q1-0024,2011-01,2011-01,Netherlands,Decor,return,50,27.91,10,-1255.95
Q1-0025,2011-01,2011-01,Netherlands,Stationery,booked,7,133.17,0,932.19
Q1-0026,2011-01,2011-01,Netherlands,Stationery,booked,5,38.48,15,163.54
Q1-0027,2011-01,2011-01,Netherlands,Stationery,booked,76,25.2,10,1723.68
Q1-0028,2011-01,2011-01,Netherlands,Stationery,booked,32,21.21,0,678.72
Q1-0029,2011-01,2011-01,Netherlands,Bag,booked,47,57.45,0,2700.15
Q1-0030,2011-01,2011-01,Netherlands,Bag,return,80,107.79,0,-8623.2
Q1-0031,2011-01,2011-01,Netherlands,Bag,booked,53,72.21,0,3827.13
Q1-0032,2011-01,2011-01,Netherlands,Bag,booked,70,58.81,10,3705.03
Q1-0033,2011-01,2011-01,EIRE,Kitchen,booked,80,130.9,5,9948.4
Q1-0034,2011-01,2011-01,EIRE,Kitchen,return,13,48.01,15,-530.51
Q1-0035,2011-01,2011-01,EIRE,Kitchen,void,21,25.08,15,0.0
Q1-0036,2011-01,2011-01,EIRE,Kitchen,booked,37,82.93,0,3068.41
Q1-0037,2011-01,2011-01,EIRE,Decor,booked,25,8.17,5,194.04
Q1-0038,2011-01,2011-01,EIRE,Decor,booked,50,36.2,5,1719.5
