month,store,revenue_usd,orders
2010-01,United Kingdom,790727.39,998
2010-01,EIRE,100824.27,32
2010-01,Netherlands,45161.54,6
2010-02,United Kingdom,703185.56,1094
2010-02,EIRE,33277.45,18
2010-02,Netherlands,26659.58,8
2010-03,United Kingdom,1114764.18,1549
2010-03,EIRE,35518.72,27
2010-03,Netherlands,37772.13,15
2010-04,United Kingdom,903222.03,1350
2010-04,EIRE,36971.05,19
2010-04,Netherlands,10643.17,10
2010-05,United Kingdom,865490.17,1390
2010-05,EIRE,29543.38,19
2010-05,Netherlands,34633.54,8
2010-06,United Kingdom,1007977.3,1523
2010-06,EIRE,35433.56,24
2010-06,Netherlands,37426.87,8
2010-07,United Kingdom,864338.72,1413
2010-07,EIRE,55190.98,28
2010-07,Netherlands,8550.48,10
2010-08,United Kingdom,921670.29,1320
2010-08,EIRE,40178.82,27
2010-08,Netherlands,38669.33,10
2010-09,United Kingdom,1194398.56,1661
2010-09,EIRE,57141.01,35
2010-09,Netherlands,69582.38,19
2010-10,United Kingdom,1545631.72,2104
2010-10,EIRE,77372.13,47
2010-10,Netherlands,26675.74,12
2010-11,United Kingdom,1970772.86,2520
2010-11,EIRE,47943.37,42
2010-11,Netherlands,55710.75,22
2010-12,United Kingdom,625850.82,774
2010-12,EIRE,8161.9,10
2010-12,Netherlands,297.57,1
