country_code,country,indicator_code,indicator,year,value
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,2.00787868943563
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,1.9928207750233
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,1.96879630651915
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,1.91839410561756
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,1.99978275095698
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,1.99935674253319
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,2.00204169117872
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,2.08496718576573
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,2.16839391882541
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,2.00746250710986
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2010,2.27112813109879
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2011,2.37418967936326
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2012,2.52901988702936
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2013,2.63744450973958
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2014,2.7310345760982
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2015,2.56818858918394
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2016,2.37533549789759
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2017,2.41694955353585
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2018,2.28562350357953
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2019,2.25869881785082
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2020,2.1466461829
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2021,2.41580858865319
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2022,2.27889577215227
BRA,Brazil,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2023,2.27447826989363
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2000,2.88907594771294
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2001,3.00747564571294
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2002,3.22795454545455
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2003,3.70467882645141
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2004,4.24069749050016
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2005,4.78299420120885
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2006,5.28052516361306
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2007,5.7076324565497
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2008,5.85225866357655
CHN,China,EN.GHG.CO2.PC.CE.AR5,CO2 emissions per capita (t),2009,6.24909018523805
